FID,IID,SOL,C1,C2,C3,C4
TSI,34,0,0.0421955,-0.0893141,-0.014995,0.00315166
TSI,35,0,0.0432598,-0.0901964,-0.0163339,-0.00135563
TSI,36,0,0.0427119,-0.0874632,-0.0176981,0.003425
TSI,37,0,0.0411644,-0.0886007,-0.0163971,-0.000173429
TSI,38,0,0.0450347,-0.0875694,-0.0174627,0.000133483
TSI,39,0,0.0424136,-0.0899277,-0.0132116,-0.000221955
TSI,40,0,0.0411053,-0.0897548,-0.0172318,0.00237805
TSI,41,0,0.0439235,-0.087704,-0.0157656,-0.00179694
TSI,42,0,0.0450776,-0.0851227,-0.0135222,0.000377482
TSI,43,0,0.0411317,-0.088922,-0.0128274,0.00165616
TSI,44,0,0.0419268,-0.0880963,-0.0143389,-0.000861878
TSI,45,0,0.0415856,-0.0907888,-0.0137129,0.00154329
TSI,46,0,0.0410154,-0.0878103,-0.0166291,0.000738019
TSI,47,0,0.0433118,-0.0905791,-0.0163178,0.000265615
TSI,48,0,0.0425504,-0.087603,-0.0157801,-0.00104079
TSI,49,0,0.042374,-0.0895427,-0.0152375,0.00395922
TSI,50,0,0.0422047,-0.089677,-0.0165535,0.00174463
TSI,51,0,0.0416994,-0.0871612,-0.014855,0.00278446
TSI,52,0,0.0420987,-0.0870419,-0.015915,0.00197157
TSI,53,0,0.0420258,-0.0880973,-0.0163327,0.00222411
TSI,54,0,0.0439796,-0.0877702,-0.012199,0.00147244
TSI,55,0,0.0436004,-0.0891257,-0.0162785,0.000351635
TSI,56,0,0.0394555,-0.0872071,-0.0148829,0.00124916
TSI,57,0,0.0423273,-0.0900203,-0.015191,-0.000556138
TSI,58,0,0.0440741,-0.0884621,-0.0160731,-0.000139198
TSI,59,0,0.041865,-0.0879799,-0.0152655,0.00179494
TSI,60,0,0.0410477,-0.0872272,-0.0152247,0.00271717
TSI,61,0,0.0419506,-0.0899095,-0.0154033,0.000615139
TSI,62,0,0.0424388,-0.0902962,-0.0163737,0.00102323
TSI,63,0,0.0415756,-0.0878409,-0.0168635,0.00323495
